-0.1929	-0.3430	0.0701	-0.0302	0.3635	-0.0314	-0.2284	-0.2129	-0.0376	-0.0440	-0.0540	0.0194	-0.3144	0.1829	0.2407	-0.0859	-0.2622	0.1667	-0.2625	0.1360	-0.1062	0.3466	0.1996	-0.2151	0.0546
-0.1547	-0.0558	0.3032	-0.0377	0.0734	0.1279	-0.0272	0.1434	-0.0965	0.3225	0.0018	-0.0281	0.0312	0.0333	0.0971	0.2888	0.0939	-0.7022	-0.2016	-0.0251	0.0607	0.0127	0.2063	-0.0465	-0.1893
-0.1498	-0.1361	0.0289	-0.0071	0.2298	-0.1570	-0.0140	0.2302	-0.3759	-0.2073	-0.0194	0.4279	0.1569	-0.1555	-0.1194	0.0432	0.0200	-0.0678	0.0971	-0.2363	-0.0187	-0.1959	-0.0038	-0.3538	0.4008
-0.2649	-0.1795	-0.0601	0.0356	-0.3069	0.0145	0.3324	-0.0808	-0.1419	0.0200	-0.1429	-0.0490	-0.0561	0.2273	-0.2035	0.0225	0.3835	0.1738	-0.0859	0.1679	0.2074	-0.0251	0.4849	0.0374	0.2197
-0.1422	0.0560	-0.3627	0.0416	0.1516	0.1896	0.0177	-0.0638	-0.4444	-0.2245	0.2528	0.1088	-0.0114	0.3695	0.0635	0.0689	-0.0814	-0.1491	0.0109	-0.0344	-0.0635	-0.0034	-0.0810	0.5171	-0.0532
-0.2006	0.3808	-0.0297	0.2711	-0.1108	-0.1099	0.1272	0.2055	0.0130	-0.1450	0.4481	-0.3650	-0.1841	0.1417	0.2149	-0.0212	0.0336	-0.0498	0.0282	-0.1327	-0.0398	0.1313	0.0234	-0.3716	0.1492
-0.1781	0.2081	0.1831	0.1434	0.2595	0.0531	0.1313	-0.0126	0.0590	0.3443	-0.1278	0.0357	0.4129	0.1582	-0.0411	0.0397	0.1126	0.1368	0.2292	0.0348	-0.2918	0.4368	-0.0957	0.1263	0.2425
-0.1871	0.1446	0.3026	-0.3875	0.0283	-0.0879	-0.0157	-0.0483	-0.1087	-0.2903	-0.2738	-0.1753	-0.1189	0.1175	0.1944	0.0221	0.2030	-0.0818	0.1163	0.2729	0.2582	-0.0055	-0.4474	0.0327	0.1392
-0.1986	0.0629	-0.1432	-0.2295	-0.0327	-0.2091	-0.2967	0.3967	0.0266	0.1258	0.2427	0.0335	-0.1181	-0.3219	-0.1671	0.1709	0.1849	0.1687	-0.3369	0.1728	-0.0501	0.2068	-0.0607	0.2726	0.1128
-0.2279	0.0489	0.3498	0.1462	0.0362	0.3611	-0.2772	-0.2156	-0.0329	0.0034	0.2185	0.0478	-0.0702	-0.1944	-0.1378	-0.3675	0.2009	0.1060	-0.0123	-0.3493	0.3211	0.0444	-0.0246	0.1390	-0.0112
-0.1979	-0.1152	-0.1427	0.0183	-0.0669	-0.4978	0.0208	-0.1120	-0.0610	0.2862	0.1662	0.2925	-0.0607	0.1289	-0.0464	-0.1827	0.1224	-0.0583	0.2932	0.0435	0.2139	0.1565	-0.1796	-0.1355	-0.4240
-0.1572	-0.0835	-0.1377	0.5047	-0.3095	-0.0160	-0.2052	-0.0382	-0.1960	0.0434	-0.3344	-0.0201	0.0848	-0.2485	0.3854	0.3132	-0.0739	0.1047	-0.0156	-0.0565	0.1767	0.0956	-0.1557	0.0492	0.0018
-0.2097	-0.3947	0.0503	0.1075	-0.1812	0.2566	-0.0614	0.2739	0.4097	-0.1833	0.0844	0.2084	-0.1902	0.0258	0.1401	-0.0155	0.1169	-0.1266	0.4058	0.1414	-0.2626	-0.0289	-0.0438	0.1051	0.0534
-0.2243	0.0252	-0.1813	0.3488	0.3537	-0.0289	-0.0313	0.1131	0.4469	-0.1374	-0.1707	-0.0225	0.0650	0.2348	-0.3342	0.0920	-0.0324	-0.0650	-0.2439	0.0435	0.3053	-0.1715	-0.1859	-0.0357	-0.0436
-0.1961	0.3037	-0.1239	0.0586	0.0261	-0.0432	0.0499	-0.5448	0.1578	0.1998	0.0624	0.2349	-0.2692	-0.2352	0.0539	0.0785	-0.0002	-0.1821	-0.0329	0.1948	-0.1883	-0.3100	-0.0188	0.0111	0.2893
-0.1606	0.0573	0.2848	0.0927	-0.0560	-0.3499	0.0354	-0.2118	0.1158	-0.5303	0.0982	0.0870	0.3755	-0.1447	0.0574	0.0335	0.0573	-0.0320	-0.1621	0.0651	-0.2146	0.0307	0.2260	0.1510	-0.2752
-0.2271	-0.2266	-0.0158	-0.0047	0.2707	-0.2076	0.2610	0.0881	-0.0280	0.1664	-0.1443	-0.3392	-0.1207	-0.1334	0.2107	-0.1637	0.1855	0.1232	-0.0631	-0.3474	-0.2705	-0.3494	-0.0871	0.2097	-0.1249
-0.1909	0.1997	0.2326	-0.1407	-0.2722	-0.0466	0.1464	0.2402	0.1398	0.1612	-0.0481	0.3762	0.0200	0.2729	0.2496	-0.1398	-0.4128	0.1758	-0.2387	-0.1552	0.1060	-0.1742	0.0088	0.1485	0.0479
-0.2560	0.1673	0.0938	-0.1560	0.1277	0.2662	0.0329	0.0003	-0.0681	0.0002	0.0589	0.0391	-0.0937	-0.0306	-0.0914	0.5164	-0.0532	0.4264	0.2195	0.0129	-0.0431	-0.1789	0.0766	-0.2063	-0.4189
-0.1943	0.0831	-0.2808	-0.2010	0.0778	0.0425	-0.4355	0.0376	0.0716	0.1081	0.0308	-0.1748	0.4427	0.0478	0.2859	-0.2295	0.0262	0.0163	0.1798	0.1734	0.1098	-0.2869	0.3014	-0.0824	0.0289
-0.2330	0.1808	-0.0266	0.0245	0.0821	-0.0611	0.1350	0.1749	-0.0873	-0.0785	-0.2542	-0.1434	-0.1869	-0.3409	-0.2243	-0.2137	-0.4576	-0.1727	0.3231	0.1088	0.1090	0.1564	0.2800	0.1837	-0.0487
-0.2015	-0.2314	-0.1653	-0.3784	-0.1408	-0.0703	0.0544	-0.2742	0.2722	-0.0404	0.1124	-0.1823	0.1462	-0.0196	-0.0793	0.2995	-0.2224	-0.1022	0.1111	-0.4668	0.1404	0.1958	-0.0357	0.0386	0.2053
-0.2096	0.1947	-0.3638	-0.2093	-0.1589	0.3001	0.0789	0.0076	0.0270	-0.1356	-0.3379	0.1557	0.0292	-0.0809	-0.0042	-0.2456	0.1857	-0.1205	-0.2441	-0.1674	-0.2467	0.2447	-0.0990	-0.2733	-0.2309
-0.1840	-0.0410	0.1563	0.0604	-0.3491	-0.1014	-0.3950	-0.0704	-0.1893	0.0721	-0.1108	-0.2360	-0.0115	0.2649	-0.4437	-0.0582	-0.1824	-0.0503	-0.0106	-0.0149	-0.4068	-0.1865	-0.1494	-0.0702	0.0027
-0.2033	-0.2926	0.0173	0.0112	-0.0657	0.2432	0.3504	-0.0289	-0.1292	0.0807	0.3052	-0.1339	0.3053	-0.2312	-0.0431	-0.1516	-0.2558	0.0178	-0.1933	0.3851	0.0395	-0.0539	-0.3182	-0.1501	-0.0125
